"","","","","","","",""
"8625R1","50","50","493061","1931473","R"
"8660","12","12","493203","1931509","R","12"
"8660","12"
"8667R2","60","60","492784","1931441","R"
"8786R1","10","10","493348","1931506","R"
"8786R1","10","10","492298","1931376","R"
"8880","18"
"8937R1","90","90","492784","1931437","R"
"8992","50","","","","","50"
"9039","32","32","492784","1931436","R"
"9048","","10","492664","1931423","R"
"9048","20","10","492437","1931393","R"
"9074R1","250","500","492429","1931388","R"
"9074R1","250"
"9078R1","30","30","491627","1931268","R"
"9103","1152","576","","2030000","R","1192"
"9103","576"
"9105","80","80","492170","1931362","R"
"9118","60","60","492429","1931389","R"
"9119R1","12","12","492918","1931455","R"
"9184","36"
"9227","90","","","","","","90"
"9238TR1","125","125","493184","1910437","R"
"9251","130","130","492069","1910395","R"
"9259R1","20","10","492666","1931425","R","10"
"9267","20","20","492916","1931451","R","","20"
"9267","20"
"9319","16","16","492667","1920931","R"
"9324","200","","","","","","200"
"9342","20","20","","2030002S","R","","20"
"9342","20"
"9342","20"
"9342","20"
"9355","200"
"9363","20","","","","","","20"
"9372","40","40","491840","1931310","R"
"9387R1","16","16","492428","1931385","R"
"9498R1","24","24","492462","1931406","R"
"9517","60","60","492873","1920979","R"
"9559R1","28","28","492462","1931407","R","","1"
"9559R2","28","28","493316","1931503","R"
"9585","16","","","","","16"
"9646","50","50","490936","1920797","R"
"9646","50","50","","2020000","R"
"9648","10","10","493166","1931478","R"
"9662","40","","","","","40"
"9747","10","10","493316","1931501","R"
"9777","20","20","492097","1931345","R"
"9779","100","100","492784","1931440","R"
"9782","15","15","493179","1931483","R"
"9809","20","20","493252","1910435","R"
"9882","20","20","492436","1931390","R"
"41065R3","300","150","493269","1931498","R","40"
"41065R3","150","150","492891","1931448","R"
"41065R3","40","150","492091","1931343","R"
"61319-1B","1"
"61319-1C","1"
"61319-1D","1"
"61319-1E","1"
"91710","89","59","492914","1920954","R"
"91710","","30","492914","1920953","R"
"91730","10","10","492914","1920955","R"
"91750","6","6","492914","1920956","R"
"92419-1B","1"
"92419-1C","1"
"B1118","50","50","492815","1931510","R"
"B1120","50","50","492819","1931511","R"
"B1954R1","100","","","","","","100"
"B6705R1","100","50","493374","1931520","R","50"
"B6705R1","","50","492820","1931512","R"
"B6705R1","100","50","491845","1931324","R"
"B7345R1","50","50","492870","1931513","R"
"B7419","25","25","492132","1931349","R"
"B8108R1","50","50","493375","1931515","R"
"B8108R1","50","50","492385","1931415","R"
"B8109","","50","493377","1931517","R"
"B8109","50","50","491844","1931323","R"
"B8109","100","50","490207","1931190","R"
"B8110R1","50","50","493376","1931516","R"
"B8110R1","50","50","491280","1931262","R"
"B8120R1","50","","","","","50"
"B8123R1","50","50","491577","1931264","R"
"B8128R1","50","50","491843","1931322","R"
"B9175R1","","160","492871","1931514","R"
"B9175R1","","100","492460","1931521","R"
"B9175R1","160","100","492348","1931377","R"
"B9175R1","300","100","491485","1931321","R"
"B9176R1","","50","492349","1931378","R"
"B9176R1","93","43","491281","1931263","R"

"End of Report"




